teacher_id,year,semester,degree,num_class
128655,112,1,博士班,1
119794,112,1,博士班,1
125884,112,1,博士班,1
101830,112,1,博士班,1
118658,112,1,博士班,1
123164,112,1,博士班,1
111578,112,1,博士班,1
114671,112,1,博士班,1
105859,112,1,博士班,1
104973,112,1,博士班,1
111058,112,1,博士班,1
113613,112,1,博士班,1
104849,112,1,博士班,1
107009,112,1,博士班,1
125920,112,1,博士班,1
131349,112,2,博士班,1
125908,112,2,博士班,1
102102,112,2,博士班,1
305020,112,2,博士班,1
128564,112,2,博士班,6
128823,112,2,博士班,1
152501,112,2,博士班,3
107983,112,2,博士班,4
126893,112,2,博士班,1
125803,112,2,博士班,1
117066,112,2,博士班,3
107982,112,2,博士班,1
301018,112,2,博士班,3
113045,112,2,博士班,6
303017,112,2,博士班,1
103903,112,2,博士班,3
121807,112,2,博士班,3
107924,112,2,博士班,3
113618,112,2,博士班,3
101653,112,2,博士班,1
102700,112,2,博士班,3
115112,112,2,博士班,1
130158,112,2,博士班,1
117067,112,2,博士班,7
123991,112,2,博士班,2
125884,112,2,博士班,1
101830,112,2,博士班,1
102657,112,2,博士班,3
308508,112,2,博士班,1
118658,112,2,博士班,2
123164,112,2,博士班,2
111578,112,2,博士班,7
101854,112,2,博士班,3
111520,112,2,博士班,4
104973,112,2,博士班,14
127364,112,2,博士班,1
128694,112,2,博士班,1
113613,112,2,博士班,1
306009,112,2,博士班,3
118330,112,2,博士班,9
107009,112,2,博士班,2
125920,112,2,博士班,5
107991,112,2,博士班,3
128808,112,2,博士班,2
102104,112,2,博士班,1
115898,112,1,MBA,1
125908,112,1,MBA,1
354008,112,1,MBA,2
152501,112,1,MBA,1
107983,112,1,MBA,2
121785,112,1,MBA,1
103903,112,1,MBA,1
107924,112,1,MBA,1
102380,112,1,MBA,1
117067,112,1,MBA,1
129966,112,1,MBA,1
129360,112,1,MBA,2
123991,112,1,MBA,1
111758,112,1,MBA,1
119430,112,1,MBA,1
125884,112,1,MBA,1
123164,112,1,MBA,1
111578,112,1,MBA,1
107704,112,1,MBA,1
111520,112,1,MBA,2
104973,112,1,MBA,2
305018,112,1,MBA,2
118657,112,1,MBA,1
125920,112,1,MBA,1
107991,112,1,MBA,3
102104,112,1,MBA,1
117118,112,1,MBA,1
124500,112,2,MBA,1
305020,112,2,MBA,4
307005,112,2,MBA,1
107983,112,2,MBA,2
117066,112,2,MBA,1
113045,112,2,MBA,2
126891,112,2,MBA,2
102700,112,2,MBA,1
129360,112,2,MBA,2
118658,112,2,MBA,1
118656,112,2,MBA,1
123164,112,2,MBA,1
111578,112,2,MBA,1
111520,112,2,MBA,1
104973,112,2,MBA,1
105921,112,2,MBA,1
253503,112,2,MBA,1
118657,112,2,MBA,1
125920,112,2,MBA,1
118544,112,2,MBA,1
107991,112,2,MBA,1
117118,112,2,MBA,2
125908,112,1,IMBA,3
107927,112,1,IMBA,1
128208,112,1,IMBA,1
102306,112,1,IMBA,1
128691,112,1,IMBA,1
125939,112,1,IMBA,1
118069,112,1,IMBA,1
119833,112,1,IMBA,1
111282,112,1,IMBA,1
114664,112,1,IMBA,1
129966,112,1,IMBA,1
101607,112,1,IMBA,1
123164,112,1,IMBA,1
106855,112,1,IMBA,1
111650,112,1,IMBA,1
107991,112,1,IMBA,1
117118,112,1,IMBA,1
125908,112,2,IMBA,1
130038,112,2,IMBA,1
128457,112,2,IMBA,2
126893,112,2,IMBA,1
132574,112,2,IMBA,1
123146,112,2,IMBA,2
107924,112,2,IMBA,1
125884,112,2,IMBA,1
118656,112,2,IMBA,1
128282,112,2,IMBA,1
111650,112,2,IMBA,1
101600,112,2,IMBA,1
115898,112,1,EMBA,1
305020,112,1,EMBA,2
117535,112,1,EMBA,1
107983,112,1,EMBA,2
102107,112,1,EMBA,1
107927,112,1,EMBA,1
127335,112,1,EMBA,1
129490,112,1,EMBA,1
113615,112,1,EMBA,1
102306,112,1,EMBA,1
113045,112,1,EMBA,5
107924,112,1,EMBA,1
126020,112,1,EMBA,1
308003,112,1,EMBA,1
102108,112,1,EMBA,1
102380,112,1,EMBA,1
117067,112,1,EMBA,1
101607,112,1,EMBA,2
111758,112,1,EMBA,1
101567,112,1,EMBA,2
125884,112,1,EMBA,1
101830,112,1,EMBA,1
102657,112,1,EMBA,2
118656,112,1,EMBA,4
111578,112,1,EMBA,1
114671,112,1,EMBA,1
115045,112,1,EMBA,1
101854,112,1,EMBA,2
111520,112,1,EMBA,3
104973,112,1,EMBA,3
125511,112,1,EMBA,1
105921,112,1,EMBA,1
305018,112,1,EMBA,1
131542,112,1,EMBA,1
103897,112,1,EMBA,1
118330,112,1,EMBA,2
125920,112,1,EMBA,1
107991,112,1,EMBA,4
102104,112,1,EMBA,1
115898,112,2,EMBA,2
354008,112,2,EMBA,1
305020,112,2,EMBA,2
152501,112,2,EMBA,1
117535,112,2,EMBA,2
107983,112,2,EMBA,3
118774,112,2,EMBA,1
102107,112,2,EMBA,1
107927,112,2,EMBA,1
129490,112,2,EMBA,1
113615,112,2,EMBA,2
301018,112,2,EMBA,1
113045,112,2,EMBA,4
124031,112,2,EMBA,1
102108,112,2,EMBA,1
115112,112,2,EMBA,1
102106,112,2,EMBA,1
301016,112,2,EMBA,3
101607,112,2,EMBA,1
110954,112,2,EMBA,1
101567,112,2,EMBA,2
125884,112,2,EMBA,3
102657,112,2,EMBA,1
118656,112,2,EMBA,1
111578,112,2,EMBA,3
114671,112,2,EMBA,1
101854,112,2,EMBA,1
111520,112,2,EMBA,3
104973,112,2,EMBA,3
125511,112,2,EMBA,1
101831,112,2,EMBA,2
105921,112,2,EMBA,1
124032,112,2,EMBA,1
103897,112,2,EMBA,1
118330,112,2,EMBA,4
101654,112,2,EMBA,1
125920,112,2,EMBA,2
107991,112,2,EMBA,1
117118,112,2,EMBA,1
124500,112,1,DBA,6
128564,112,1,DBA,6
130717,112,1,DBA,3
126893,112,1,DBA,3
125803,112,1,DBA,3
102306,112,1,DBA,3
107924,112,1,DBA,3
102700,112,1,DBA,3
111578,112,1,DBA,3
118330,112,1,DBA,3
117118,112,1,DBA,3
